Matrix size: 100 x 100,,,,,
iteracion,secuencial,cuda,tiled,aceleracion,resultado
20,1.1963220000,0.0137940000,0.0052590000,227.4808899030,Good calculation
Matrix size: 2000 x 2000,,,,,
iteracion,secuencial,cuda,tiled,aceleracion,resultado
1,11.0369540000,0.0991260000,0.0321030000,343.7982120051,Good calculation
2,11.0528150000,0.0901280000,0.0319670000,345.7570306879,Good calculation
3,10.9532790000,0.0903420000,0.0288650000,379.4657543738,Good calculation
4,11.0343230000,0.0897520000,0.0289170000,381.5860220631,Good calculation
5,10.9646160000,0.0997290000,0.0318970000,343.7506975578,Good calculation
6,11.0113720000,0.0992420000,0.0321700000,342.2869754430,Good calculation
7,10.9801830000,0.0994580000,0.0307560000,357.0094615685,Good calculation
8,10.9751210000,0.0898630000,0.0295010000,372.0253889699,Good calculation
9,10.9646640000,0.0903200000,0.0289750000,378.4180845557,Good calculation
10,10.9564950000,0.0902380000,0.0288990000,379.1305927541,Good calculation
11,10.9792840000,0.0974820000,0.0290770000,377.5934243560,Good calculation
12,10.9707870000,0.0892570000,0.0293290000,374.0593610420,Good calculation
13,11.0443220000,0.0890660000,0.0290100000,380.7074112375,Good calculation
14,10.9809330000,0.0897550000,0.0290110000,378.5092895798,Good calculation
15,10.9598490000,0.0994950000,0.0318690000,343.9031347077,Good calculation
16,11.0416360000,0.0899970000,0.0296730000,372.1105381997,Good calculation
17,11.0157230000,0.0899720000,0.0293440000,375.3995024537,Good calculation
18,11.0523430000,0.0897720000,0.0289170000,382.2091849085,Good calculation
19,10.9826520000,0.0985740000,0.0295930000,371.1233061873,Good calculation
20,10.9877200000,0.0899700000,0.0294610000,372.9581480601,Good calculation
