image,dimensions,time
testsHDR/test1.hdr,3264x4080,12.846594
testsHDR/test2.hdr,512x1024,0.561514
testsHDR/test3.hdr,1200x1013,1.222955
testsHDR/test4.hdr,427x640,0.347221
testsHDR/test5.hdr,2560x5120,14.115925
